Timestamp,Spol,Koliko imas godina?,Zavrsio si?,sto mislis koliko ima gradova u Hrvatskoj?,mislis li da je udaljenost od Zagreba do Pariza veća od 3000 km?,sto mislis kolika je ta udaljenost?,,,
5/20/2015 18:43:12,zensko,22,Srednju skolu,127,Ne,1500,,,
5/21/2015 0:59:00,zensko,22,Srednju skolu,127,Ne,2400,,,
5/20/2015 18:33:07,zensko,22,Srednju skolu,126,Ne,1500,,,
5/20/2015 22:30:57,zensko,22,Srednju skolu,125,Ne,2890,,,
5/20/2015 19:01:17,zensko,22,Srednju skolu,123,Ne,2000,,,
5/20/2015 19:45:04,musko,22,Srednju skolu,120,Ne,1000,,,
5/21/2015 18:14:52,zensko,22,Srednju skolu,120,Ne,1200,,,
5/20/2015 21:57:42,musko,22,Srednju skolu,115,Ne,1400,,,
5/20/2015 19:19:39,zensko,22,Srednju skolu,100,Ne,2000,,,
5/20/2015 21:43:34,zensko,22,Srednju skolu,100,Ne,2000,,,
5/20/2015 20:11:36,zensko,22,Srednju skolu,98,Ne,2579,,,
5/20/2015 19:02:50,zensko,22,Srednju skolu,87,Ne,2600,,,
5/21/2015 11:28:41,zensko,22,Srednju skolu,84,Ne,2200,,,
5/21/2015 19:51:42,musko,22,Srednju skolu,82,Ne,2600,,,
5/21/2015 0:42:18,zensko,22,Srednju skolu,80,Ne,1000,,,
6/2/2015 21:13:58,zensko,22,Srednju skolu,128,Ne,980,,,
5/20/2015 18:41:59,zensko,23,Srednju skolu,1000,Ne,1500,,,
5/20/2015 22:10:01,musko,23,Srednju skolu,180,Ne,1500,,,
5/20/2015 19:14:34,zensko,23,Srednju skolu,150,Ne,1700,,,
5/20/2015 19:44:29,zensko,23,Srednju skolu,150,Ne,2100,,,
5/20/2015 18:39:45,zensko,23,Srednju skolu,128,Da,10000,,,60 na vise
5/20/2015 19:05:16,zensko,23,Srednju skolu,128,Da,3001,,,
5/21/2015 21:58:49,zensko,23,Srednju skolu,128,Ne,1500,,,
5/20/2015 20:40:00,zensko,23,Srednju skolu,100,Ne,2500,,,
5/20/2015 18:47:23,zensko,23,Srednju skolu,50,Ne,2000,,,
5/22/2015 12:16:37,zensko,23,Srednju skolu,50,Ne,2000,,,
5/21/2015 9:30:07,zensko,23,Srednju skolu,46,Ne,2672,,,
5/20/2015 22:08:04,zensko,23,Srednju skolu,45,Ne,1500,,,
5/20/2015 19:04:04,musko,23,Srednju skolu,40,Ne,1500,,,
6/4/2015 19:09:31,musko,23,Fakultet,70,Da,3000,,,
5/20/2015 20:24:49,zensko,24,Srednju skolu,120,Ne,1000,,,
5/20/2015 20:28:08,musko,24,Srednju skolu,70,Ne,2000,,,
5/22/2015 20:24:54,musko,24,Fakultet,70,Ne,1800,,,
5/20/2015 20:59:53,zensko,25,Srednju skolu,25,Ne,1300,,,
6/3/2015 10:38:33,zensko,25,Srednju skolu,125,Ne,1300,,,
6/3/2015 9:14:31,musko,26,Fakultet,90,Ne,2500,,,
6/4/2015 19:26:49,musko,26,Srednju skolu,126,Ne,1500,,,
6/4/2015 17:03:00,zensko,27,Srednju skolu,100,Ne,1700,,,
6/4/2015 19:04:17,musko,28,Srednju skolu,300,Ne,2000,,,
6/4/2015 19:05:01,zensko,28,Srednju skolu,500,Ne,2500,,,
6/4/2015 12:26:56,zensko,29,Srednju skolu,30,Ne,1000,,,
6/4/2015 16:58:30,musko,29,Srednju skolu,80,Da,3500,,,
6/4/2015 17:00:42,musko,30,Srednju skolu,70,Ne,2000,,,
6/4/2015 19:04:38,musko,30,Srednju skolu,180,Ne,1500,,,
6/1/2015 22:54:42,zensko,31,Fakultet,130,Ne,1000,,,
6/3/2015 11:47:56,zensko,31,Fakultet,52,Ne,1000,,,
6/4/2015 19:11:05,musko,31,Fakultet,30,Ne,2000,,,
6/4/2015 19:15:48,zensko,32,Fakultet,20,Ne,2000,,,
6/1/2015 22:58:13,musko,34,Fakultet,150,Ne,1000,,,
6/4/2015 16:57:29,musko,34,Fakultet,100,Ne,2000,,,
6/4/2015 17:03:38,zensko,34,Fakultet,130,Ne,1600,,,
6/4/2015 19:13:25,zensko,34,Fakultet,350,Ne,1600,,,
6/1/2015 23:00:54,zensko,35,Fakultet,300,Da,3500,,,
6/4/2015 9:28:53,zensko,35,Fakultet,127,Ne,1426,,,
6/4/2015 16:59:52,musko,35,Fakultet,150,Ne,1500,,,
6/4/2015 19:15:17,zensko,35,Fakultet,150,Ne,1500,,,
6/3/2015 10:19:06,zensko,36,Fakultet,50,Ne,2800,,,
6/4/2015 17:07:55,musko,36,Fakultet,95,Ne,1850,,,
6/1/2015 22:59:36,zensko,37,Fakultet,103,Ne,1863,,,
6/1/2015 23:02:45,zensko,37,Fakultet,100,Ne,2500,,,
6/3/2015 9:21:39,musko,37,Fakultet,200,Ne,2000,,,
6/3/2015 9:24:58,zensko,37,Fakultet,50,Ne,1200,,,
6/4/2015 19:12:40,musko,37,Srednju skolu,150,Ne,2000,,,
6/4/2015 19:15:03,musko,37,Srednju skolu,150,Ne,1000,,,
5/24/2015 15:33:05,zensko,38,Fakultet,20,Ne,1000,,,
6/3/2015 9:13:42,musko,38,Fakultet,45,Ne,2200,,,
6/3/2015 10:15:44,zensko,38,Srednju skolu,3000,Ne,2250,,,
6/4/2015 16:59:07,zensko,38,Fakultet,90,Ne,1500,,,
6/1/2015 22:53:54,musko,39,Fakultet,40,Ne,1200,,,
6/3/2015 11:28:09,zensko,39,Fakultet,300,Da,5000,,,
6/4/2015 17:06:30,musko,39,Fakultet,130,Ne,1400,,,
6/1/2015 23:03:38,musko,40,Fakultet,125,Ne,1400,,,
6/2/2015 19:48:19,zensko,40,Srednju skolu,90,Da,5000,,,
6/3/2015 9:04:07,zensko,40,Fakultet,130,Ne,1500,,,
6/2/2015 19:45:02,musko,41,Srednju skolu,85,Ne,1500,,,
6/1/2015 23:01:21,zensko,27,Fakultet,10,Ne,2000,,,
6/3/2015 9:24:38,zensko,41,Srednju skolu,105,Ne,1500,,,
6/1/2015 22:56:29,musko,42,Fakultet,100,Ne,1000,,,
6/1/2015 23:03:56,zensko,33,Fakultet,50,Da,4500,,,
6/3/2015 12:17:28,zensko,42,Fakultet,120,Ne,800,,,
6/4/2015 19:12:05,zensko,42,Fakultet,100,Ne,2000,,,
6/4/2015 19:14:59,zensko,43,Srednju skolu,100,Ne,2000,,,
6/4/2015 19:15:00,musko,43,Srednju skolu,200,Ne,1100,,,
6/1/2015 23:00:17,zensko,44,Fakultet,180,Ne,1200,,,
6/4/2015 19:12:46,musko,44,Srednju skolu,58,Ne,1250,,,
6/2/2015 19:48:46,zensko,45,Fakultet,200,Ne,1500,,,
6/2/2015 19:46:42,zensko,45,Srednju skolu,120,Ne,2300,,,
6/3/2015 9:22:31,zensko,45,Srednju skolu,110,Ne,1300,,,
6/1/2015 23:04:37,zensko,46,Fakultet,500,Ne,2000,,,
6/2/2015 19:47:50,zensko,46,Srednju skolu,120,Ne,2000,,,
6/2/2015 19:36:55,zensko,47,Srednju skolu,100,Ne,1500,,,
6/4/2015 19:15:27,zensko,47,Fakultet,47,Ne,1670,,,
6/2/2015 19:45:27,zensko,48,Srednju skolu,270,Ne,2000,,,
6/1/2015 22:55:57,zensko,48,Fakultet,70,Ne,1500,,,
6/4/2015 19:14:21,musko,48,Fakultet,100,Ne,2000,,,
6/2/2015 19:40:40,zensko,49,Fakultet,1500,Ne,35,,,
6/2/2015 19:35:26,musko,49,Srednju skolu,60,Ne,1500,,,
6/2/2015 19:50:06,zensko,50,Srednju skolu,980,Ne,2000,,,
6/4/2015 19:13:44,musko,50,Srednju skolu,200,Ne,2000,,,
6/4/2015 19:13:45,musko,50,Fakultet,35,Ne,1300,,,
5/29/2015 21:37:45,zensko,51,Fakultet,200,Ne,2500,,,
6/2/2015 19:43:53,musko,51,Srednju skolu,129,Ne,1500,,,
6/4/2015 19:14:03,musko,51,Fakultet,120,Ne,1400,,,
5/29/2015 21:37:15,musko,52,Fakultet,150,Ne,1500,,,
6/3/2015 11:12:10,zensko,52,Srednju skolu,670,Ne,1800,,,
6/2/2015 19:26:19,musko,53,Srednju skolu,164,Ne,2500,,,
6/2/2015 19:50:28,musko,54,Srednju skolu,950,Ne,1800,,,
6/2/2015 19:41:00,musko,54,Srednju skolu,50,Ne,2200,,,
6/2/2015 19:47:04,musko,55,Srednju skolu,100,Ne,1500,,,
6/2/2015 19:44:20,musko,55,Srednju skolu,50,Ne,2000,,,
6/1/2015 22:55:14,zensko,56,Fakultet,120,Ne,1000,,,
6/4/2015 19:10:29,musko,56,Srednju skolu,310,Ne,1750,,,
6/4/2015 19:14:28,musko,56,Fakultet,200,Ne,1500,,,
6/3/2015 10:20:36,zensko,57,Srednju skolu,150,Ne,1500,,,
6/3/2015 15:27:44,zensko,57,Srednju skolu,128,Ne,3100,,,
6/4/2015 19:13:00,zensko,57,Fakultet,150,Ne,1100,,,
6/3/2015 10:32:54,zensko,58,Srednju skolu,500,Ne,1200,,,
6/2/2015 19:34:57,zensko,59,Fakultet,300,Ne,2000,,,
