"Spol","Koliko.imas.godina.","Zavrsio.si.","sto.mislis.koliko.ima.gradova.u.Hrvatskoj.","mislis.li.da.je.udaljenost.od.Zagreba.do.Pariza.veÄ.a.od.3000.km.","sto.mislis.kolika.je.ta.udaljenost."
"180","zensko",39,"Fakultet",300,"Da",5000
"181","musko",39,"Fakultet",130,"Ne",1400
"182","musko",40,"Fakultet",125,"Ne",1400
"183","zensko",40,"Srednju skolu",90,"Da",5000
"184","zensko",40,"Fakultet",130,"Ne",1500
"185","musko",41,"Srednju skolu",85,"Ne",1500
"186","zensko",27,"Fakultet",10,"Ne",2000
"187","zensko",41,"Srednju skolu",105,"Ne",1500
"188","musko",42,"Fakultet",100,"Ne",1000
"189","zensko",33,"Fakultet",50,"Da",4500
"190","zensko",42,"Fakultet",120,"Ne",800
"191","zensko",42,"Fakultet",100,"Ne",2000
"192","zensko",43,"Srednju skolu",100,"Ne",2000
"193","musko",43,"Srednju skolu",200,"Ne",1100
"194","zensko",44,"Fakultet",180,"Ne",1200
"195","musko",44,"Srednju skolu",58,"Ne",1250
"196","zensko",45,"Fakultet",200,"Ne",1500
"197","zensko",45,"Srednju skolu",120,"Ne",2300
"198","zensko",45,"Srednju skolu",110,"Ne",1300
"199","zensko",46,"Fakultet",500,"Ne",2000
"200","zensko",46,"Srednju skolu",120,"Ne",2000
"201","zensko",47,"Srednju skolu",100,"Ne",1500
"202","zensko",47,"Fakultet",47,"Ne",1670
"203","zensko",48,"Srednju skolu",270,"Ne",2000
"204","zensko",48,"Fakultet",70,"Ne",1500
"205","musko",48,"Fakultet",100,"Ne",2000
"206","zensko",49,"Fakultet",1500,"Ne",35
"207","musko",49,"Srednju skolu",60,"Ne",1500
"208","zensko",50,"Srednju skolu",980,"Ne",2000
"209","musko",50,"Srednju skolu",200,"Ne",2000
"210","musko",50,"Fakultet",35,"Ne",1300
"211","zensko",51,"Fakultet",200,"Ne",2500
"212","musko",51,"Srednju skolu",129,"Ne",1500
"213","musko",51,"Fakultet",120,"Ne",1400
"214","musko",52,"Fakultet",150,"Ne",1500
"215","zensko",52,"Srednju skolu",670,"Ne",1800
"216","musko",53,"Srednju skolu",164,"Ne",2500
"217","musko",54,"Srednju skolu",950,"Ne",1800
"218","musko",54,"Srednju skolu",50,"Ne",2200
"219","musko",55,"Srednju skolu",100,"Ne",1500
"220","musko",55,"Srednju skolu",50,"Ne",2000
"221","zensko",56,"Fakultet",120,"Ne",1000
"222","musko",56,"Srednju skolu",310,"Ne",1750
"223","musko",56,"Fakultet",200,"Ne",1500
"224","zensko",57,"Srednju skolu",150,"Ne",1500
"225","zensko",57,"Srednju skolu",128,"Ne",3100
"226","zensko",57,"Fakultet",150,"Ne",1100
"227","zensko",58,"Srednju skolu",500,"Ne",1200
"228","zensko",59,"Fakultet",300,"Ne",2000
"229","musko",59,"Fakultet",200,"Ne",2800
"230","musko",59,"Srednju skolu",128,"Ne",1500
"231","zensko",59,"Fakultet",100,"Ne",900
"232","zensko",61,"Fakultet",118,"Ne",2000
"233","zensko",61,"Srednju skolu",100,"Ne",1100
"234","zensko",62,"Srednju skolu",85,"Ne",1800
"235","musko",62,"Srednju skolu",25,"Ne",2000
"236","musko",62,"Fakultet",128,"Ne",1500
"237","zensko",62,"Fakultet",400,"Ne",1600
"238","musko",63,"Fakultet",100,"Ne",1500
"239","zensko",64,"Fakultet",50,"Ne",2500
"240","musko",64,"Fakultet",58,"Ne",1250
"241","zensko",64,"Srednju skolu",195,"Ne",2000
"242","zensko",64,"Srednju skolu",12,"Da",5000
"243","zensko",64,"Srednju skolu",300,"Ne",1000
"244","zensko",65,"Srednju skolu",28,"Ne",2500
"245","zensko",65,"Fakultet",300,"Ne",1000
"246","zensko",65,"Fakultet",30,"Ne",1500
"247","zensko",65,"Fakultet",90,"Ne",2800
"248","musko",65,"Fakultet",50,"Ne",1500
"249","musko",65,"Srednju skolu",150,"Ne",2500
"250","musko",66,"Fakultet",125,"Ne",2890
