"Spol","Koliko.imas.godina.","Zavrsio.si.","sto.mislis.kolika.je.udaljenost.od.Zagreba.do.Pariza.","mislis.li.da.u.Hrvatskoj.ima.vise.od.400.gradova.","sto.mislis.koliko.ih.ima."
"150","musko",38,"Srednju skolu",1400,"Ne",250
"151","zensko",39,"Fakultet",1500,"Da",430
"152","zensko",39,"Fakultet",650,"Ne",275
"153","zensko",39,"Fakultet",1200,"Ne",128
"154","zensko",39,"Srednju skolu",1500,"Ne",100
"155","zensko",39,"Srednju skolu",1750,"Ne",100
"156","musko",39,"Srednju skolu",1000,"Ne",35
"157","musko",40,"Srednju skolu",3000,"Ne",350
"158","musko",40,"Fakultet",1000,"Ne",150
"159","musko",40,"Fakultet",1500,"Ne",100
"160","musko",40,"Srednju skolu",1000,"Ne",25
"161","zensko",40,"Fakultet",1500,"Ne",25
"162","zensko",41,"Srednju skolu",500,"Da",420
"163","musko",41,"Fakultet",1400,"Ne",170
"164","zensko",42,"Srednju skolu",750,"Ne",20
"165","zensko",43,"Fakultet",1000,"Ne",50
"166","zensko",44,"Srednju skolu",800,"Da",430
"167","zensko",44,"Fakultet",1200,"Ne",250
"168","zensko",45,"Fakultet",1000,"Da",500
"169","zensko",45,"Fakultet",1600,"Ne",180
"170","zensko",45,"Srednju skolu",1000,"Ne",50
"171","zensko",46,"Srednju skolu",2500,"Da",430
"172","musko",46,"Srednju skolu",2100,"Ne",330
"173","musko",46,"Fakultet",1000,"Ne",50
"174","zensko",47,"Srednju skolu",1000,"Da",700
"175","musko",47,"Fakultet",2000,"Ne",100
"176","musko",48,"Fakultet",900,"Ne",60
"177","zensko",49,"Fakultet",2000,"Da",463
"178","zensko",49,"Srednju skolu",1700,"Da",413
"179","zensko",50,"Fakultet",3000,"Da",450
"180","zensko",50,"Srednju skolu",1800,"Ne",350
"181","zensko",50,"Srednju skolu",1500,"Ne",125
"182","zensko",51,"Srednju skolu",2000,"Ne",200
"183","zensko",51,"Srednju skolu",900,"Ne",200
"184","zensko",51,"Srednju skolu",1000,"Ne",150
"185","zensko",51,"Fakultet",1000,"Ne",35
"186","zensko",52,"Srednju skolu",500,"Da",600
"187","musko",52,"Fakultet",1300,"Ne",128
"188","zensko",53,"Srednju skolu",1000,"Ne",250
